"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Miguel Cabrera","Tigers","161","572","688","197","119","48","0","30","111","105","108","22","89","3","5","0","24","2","1",".344","1744"
"Adrian Gonzalez","Red Sox","159","630","715","213","138","45","3","27","108","117","74","20","119","6","5","0","28","1","0",".338","1908"
"Michael Young","Rangers","159","631","689","213","155","41","6","11","88","106","47","7","78","2","9","0","17","6","2",".338","1286"
"Jose Reyes","Mets","126","537","586","181","127","31","16","7","101","44","43","9","41","0","4","2","5","39","7",".337","1736"
"Ryan Braun","Brewers","150","563","629","187","110","38","6","33","109","111","58","2","93","5","3","0","9","33","6",".332","3410"
"Victor Martinez","Tigers","145","540","595","178","126","40","0","12","76","103","46","6","51","2","7","0","20","1","0",".330","393"
"Matt Kemp","Dodgers","161","602","689","195","119","33","4","39","115","126","74","24","159","6","7","0","16","40","11",".324","5631"
"Jacoby Ellsbury","Red Sox","158","660","732","212","129","46","5","32","119","105","52","1","98","9","5","3","8","39","15",".321","4727"
"Hunter Pence","- - -","154","606","668","190","125","38","5","22","84","97","56","3","124","1","5","0","15","8","2",".314","8252"
"Joey Votto","Reds","161","599","719","185","113","40","3","29","101","103","110","15","129","4","6","0","20","8","6",".309","4314"
"David Ortiz","Red Sox","146","525","605","162","92","40","1","29","84","96","78","12","83","1","1","0","24","1","1",".309","745"
"Starlin Castro","Cubs","158","674","715","207","152","36","9","10","91","66","35","2","96","2","4","0","20","22","9",".307","4579"
"Dustin Pedroia","Red Sox","159","635","731","195","134","37","3","21","102","91","86","6","85","1","7","2","12","26","8",".307","8370"
"Aramis Ramirez","Cubs","149","565","626","173","111","35","1","26","80","93","43","5","69","10","8","0","12","1","1",".306","1002"
"Casey Kotchman","Rays","146","500","563","153","117","24","2","10","44","48","48","5","66","12","3","0","13","2","2",".306","1930"
"Melky Cabrera","Royals","155","658","706","201","134","44","5","18","102","87","35","3","94","1","5","7","13","20","10",".305","4022"
"Yadier Molina","Cardinals","139","475","518","145","98","32","1","14","55","65","33","4","44","1","4","5","21","4","5",".305","7007"
"Alex Gordon","Royals","151","611","690","185","113","45","4","23","101","87","67","2","139","7","3","0","9","17","8",".303","5209"
"Michael Morse","Nationals","146","522","575","158","91","36","0","31","73","95","36","5","126","13","4","0","9","2","3",".303","3035"
"Jose Bautista","Blue Jays","149","513","655","155","86","24","2","43","105","103","132","24","111","6","4","0","8","9","5",".302","1887"
"Robinson Cano","Yankees","159","623","681","188","107","46","7","28","104","118","38","11","96","12","8","0","18","8","2",".302","3269"
"Troy Tulowitzki","Rockies","143","537","606","162","94","36","2","30","81","105","59","12","79","4","5","1","16","9","3",".302","3531"
"Lance Berkman","Cardinals","145","488","587","147","91","23","2","31","90","94","92","17","93","3","4","0","7","2","6",".301","548"
"Paul Konerko","White Sox","149","543","639","163","107","25","0","31","69","105","77","17","89","8","11","0","14","1","1",".300","242"
"Carlos Beltran","- - -","142","520","598","156","89","39","6","22","78","84","71","7","88","3","4","0","18","4","2",".300","589"
"Brandon Phillips","Reds","150","610","675","183","125","38","2","18","94","82","44","3","85","9","6","5","15","14","9",".300","791"
"Jhonny Peralta","Tigers","146","525","576","157","108","25","3","21","68","86","40","2","95","2","9","0","17","0","2",".299","1738"
"Albert Pujols","Cardinals","147","579","651","173","107","29","0","37","105","99","61","15","58","4","7","0","29","9","1",".299","1177"
"Prince Fielder","Brewers","162","569","692","170","95","36","1","38","95","120","107","32","106","10","6","0","17","1","1",".299","4613"
"Josh Hamilton","Rangers","121","487","538","145","84","31","5","25","80","94","39","13","93","2","10","0","8","8","1",".298","1875"
"Derek Jeter","Yankees","131","546","607","162","128","24","4","6","84","61","46","0","81","6","5","4","10","16","6",".297","826"
"Jon Jay","Cardinals","159","455","503","135","99","24","2","10","56","37","28","1","81","7","4","9","11","6","7",".297","5227"
"Matt Holliday","Cardinals","124","446","516","132","74","36","0","22","83","75","60","4","93","8","2","0","21","2","1",".296","1873"
"Adrian Beltre","Rangers","124","487","525","144","79","33","0","32","82","105","25","0","53","5","8","0","13","1","1",".296","639"
"Emilio Bonifacio","Marlins","152","565","641","167","129","26","7","5","78","36","59","1","129","1","5","11","4","40","11",".296","4054"
"Alex Avila","Tigers","141","464","551","137","81","33","4","19","63","82","73","9","131","3","8","3","8","3","1",".295","7476"
"Carlos Gonzalez","Rockies","127","481","542","142","86","27","3","26","92","92","48","8","105","7","6","0","11","20","5",".295","7287"
"Michael Bourn","- - -","158","656","722","193","147","34","10","2","94","50","53","3","140","4","4","5","6","61","14",".294","6387"
"Eric Hosmer","Royals","128","523","563","153","104","27","3","19","66","78","34","7","82","1","5","0","13","11","5",".293","3516"
"Andre Ethier","Dodgers","135","487","551","142","101","30","0","11","67","62","58","9","103","3","3","0","8","0","1",".292","6265"
"Billy Butler","Royals","159","597","673","174","111","44","0","19","74","95","66","15","95","3","7","0","16","2","1",".291","7399"
"Yunel Escobar","Blue Jays","133","513","590","149","111","24","3","11","77","48","61","1","70","6","5","5","14","3","3",".290","4191"
"Vladimir Guerrero","Orioles","145","562","590","163","119","30","1","13","60","63","17","3","56","7","4","0","23","2","2",".290","778"
"Jamey Carroll","Dodgers","146","452","510","131","111","14","6","0","52","17","47","3","58","2","1","8","3","10","0",".290","1591"
"Justin Upton","Diamondbacks","159","592","674","171","96","39","5","31","105","88","59","9","126","19","4","0","8","21","9",".289","5222"
"Alberto Callaspo","Angels","141","475","536","137","108","23","0","6","54","46","58","8","48","1","2","0","11","8","1",".288","3336"
"James Loney","Dodgers","158","531","582","153","110","30","1","12","56","65","42","7","67","1","5","3","8","4","0",".288","4556"
"Howie Kendrick","Angels","140","537","583","153","99","30","6","18","86","63","33","3","119","10","0","3","18","14","6",".285","4229"
"Corey Hart","Brewers","130","492","551","140","85","25","4","26","80","63","51","1","114","4","1","3","12","7","6",".285","1945"
"Jeff Francoeur","Royals","153","601","656","171","100","47","4","20","77","87","37","3","123","8","10","0","17","22","10",".285","4792"
"Nick Markakis","Orioles","160","641","716","182","135","31","1","15","72","73","62","6","75","7","6","0","16","12","3",".284","5930"
"Seth Smith","Rockies","147","476","533","135","79","32","9","15","67","59","46","7","93","4","7","0","9","10","2",".284","7331"
"Michael Cuddyer","Twins","139","529","584","150","99","29","2","20","70","70","48","3","95","4","3","0","18","11","1",".284","1534"
"Freddie Freeman","Braves","157","571","635","161","108","32","0","21","67","76","53","3","142","6","5","0","15","4","4",".282","5361"
"Miguel Montero","Diamondbacks","140","493","553","139","84","36","1","18","65","86","47","10","97","8","4","1","14","1","1",".282","3364"
"Adam Jones","Orioles","151","567","618","159","106","26","2","25","68","83","29","2","113","9","12","1","16","12","4",".280","6368"
"Elvis Andrus","Rangers","150","587","665","164","129","27","3","5","96","60","56","0","74","5","1","16","17","37","12",".279","8709"
"Shane Victorino","Phillies","132","519","586","145","85","27","16","17","95","61","55","1","63","6","0","6","4","19","3",".279","1677"
"Erick Aybar","Angels","143","556","605","155","104","33","8","10","71","59","31","1","68","6","3","9","13","30","6",".279","4082"
"Juan Pierre","White Sox","158","639","711","178","155","17","4","2","80","50","43","0","41","7","3","19","7","27","17",".279","443"
"Placido Polanco","Phillies","122","469","523","130","111","14","0","5","46","50","42","0","44","3","8","1","15","3","0",".277","1176"
"Matt Joyce","Rays","141","462","522","128","75","32","2","19","69","75","49","9","106","4","7","0","7","13","1",".277","3353"
"Omar Infante","Marlins","148","579","640","160","121","24","8","7","55","49","34","1","67","2","8","17","12","4","2",".276","1609"
"Darwin Barney","Cubs","143","529","571","146","115","23","6","2","66","43","22","2","67","8","4","7","14","9","2",".276","2430"
"Carlos Lee","Astros","155","585","653","161","101","38","4","18","66","94","59","8","60","3","6","0","9","4","3",".275","243"
"Chipper Jones","Braves","126","455","512","125","73","33","1","18","56","70","51","10","80","0","6","0","10","2","2",".275","97"
"Neil Walker","Pirates","159","596","662","163","111","36","4","12","76","83","54","5","112","4","8","0","15","9","6",".273","7539"
"Asdrubal Cabrera","Indians","151","604","667","165","105","32","3","25","87","92","44","5","119","11","4","4","10","17","5",".273","4962"
"Edwin Encarnacion","Blue Jays","134","481","530","131","78","36","0","17","70","55","43","2","77","3","3","0","17","8","2",".272","2151"
"Ichiro Suzuki","Mariners","161","677","721","184","154","22","3","5","80","47","39","13","69","0","4","1","11","40","7",".272","1101"
"Peter Bourjos","Angels","147","502","552","136","87","26","11","12","72","43","32","0","124","10","1","7","7","22","9",".271","2578"
"Brian McCann","Braves","128","466","527","126","83","19","0","24","51","71","57","14","89","2","2","0","10","3","2",".270","4810"
"J.J. Hardy","Orioles","129","527","567","142","85","27","0","30","76","80","31","3","92","2","5","2","10","0","0",".269","3797"
"Rickie Weeks Jr.","Brewers","118","453","515","122","74","26","2","20","77","49","50","3","107","8","3","1","6","9","2",".269","1849"
"Alexei Ramirez","White Sox","158","614","684","165","117","31","2","15","81","70","51","1","84","6","5","8","19","7","5",".269","5133"
"Ben Zobrist","Rays","156","588","674","158","86","46","6","20","99","91","77","1","128","2","5","2","9","19","6",".269","7435"
"Delmon Young","- - -","124","473","503","127","93","21","1","12","54","64","23","2","85","2","5","0","19","1","0",".268","2140"
"Jimmy Rollins","Phillies","142","567","631","152","112","22","2","16","87","63","58","5","59","3","3","0","9","30","8",".268","971"
"Dexter Fowler","Rockies","125","481","563","128","73","35","15","5","84","45","68","3","130","6","1","7","6","12","9",".266","4062"
"Gaby Sanchez","Marlins","159","572","661","152","98","35","0","19","72","78","74","4","97","6","7","2","18","3","1",".266","3361"
"Cliff Pennington","Athletics","148","515","570","136","100","26","2","8","57","58","42","1","104","1","4","8","5","14","9",".264","3395"
"Coco Crisp","Athletics","136","531","583","140","100","27","5","8","69","54","41","2","65","1","6","4","11","49","9",".264","1572"
"Cameron Maybin","Padres","137","516","568","136","95","24","8","9","82","40","44","2","125","2","2","4","6","40","8",".264","5223"
"Nelson Cruz","Rangers","124","475","513","125","67","28","1","29","64","87","33","1","116","2","3","0","8","9","5",".263","2434"
"Robert Andino","Orioles","139","457","511","120","93","22","0","5","63","36","41","0","83","3","1","9","14","13","3",".263","4900"
"Curtis Granderson","Yankees","156","583","691","153","76","26","10","41","136","119","85","0","169","12","7","4","12","25","10",".262","4747"
"Kosuke Fukudome","- - -","146","530","603","139","101","27","3","8","59","35","61","4","110","4","2","6","8","4","6",".262","3263"
"Torii Hunter","Angels","156","580","649","152","103","24","2","23","80","82","62","2","125","4","3","0","24","5","7",".262","731"
"Matt Wieters","Orioles","139","500","551","131","81","28","0","22","72","68","48","3","84","2","1","0","16","1","0",".262","4298"
"Giancarlo Stanton","Marlins","150","516","601","135","66","30","5","34","79","87","70","6","166","9","6","0","11","5","5",".262","4949"
"Angel Pagan","Mets","123","478","532","125","90","24","4","7","68","56","44","4","62","1","5","4","4","32","7",".262","2918"
"Johnny Damon","Rays","150","582","647","152","100","29","7","16","79","73","51","1","92","7","5","2","4","19","6",".261","185"
"Nick Swisher","Yankees","150","526","635","137","84","30","0","23","81","85","95","6","125","5","8","1","18","2","2",".260","4599"
"Martin Prado","Braves","129","551","590","143","102","26","2","13","66","57","34","1","52","1","3","1","16","4","8",".260","3312"
"Brett Gardner","Yankees","159","510","588","132","98","19","8","7","87","36","60","1","93","8","2","8","5","49","13",".259","9927"
"Andrew McCutchen","Pirates","158","572","678","148","86","34","5","23","87","89","89","3","126","9","6","2","7","23","10",".259","9847"
"Mitch Moreland","Rangers","134","464","512","120","81","22","1","16","60","51","39","6","92","4","3","2","9","2","2",".259","3086"
"Kevin Youkilis","Red Sox","120","431","517","111","60","32","2","17","68","80","68","3","100","14","4","0","14","3","0",".258","1935"
"Juan Rivera","- - -","132","466","521","120","85","23","1","11","46","74","43","1","76","3","9","0","16","5","3",".258","843"
"Jay Bruce","Reds","157","585","664","150","89","27","2","32","84","97","71","14","158","5","2","1","8","8","7",".256","9892"
"Carl Crawford","Red Sox","130","506","539","129","82","29","7","11","65","56","23","1","104","3","4","2","7","18","6",".255","1201"
"Ian Kinsler","Rangers","155","620","723","158","88","34","4","32","121","77","89","2","71","8","2","4","17","30","4",".255","6195"
"Mark Trumbo","Angels","149","539","573","137","76","31","1","29","65","87","25","6","120","5","4","0","17","9","4",".254","6876"
"Alcides Escobar","Royals","158","548","598","139","106","21","8","4","69","46","25","1","73","4","3","18","10","26","9",".254","6310"
"Ian Desmond","Nationals","154","584","639","148","108","27","5","8","65","49","35","2","139","4","5","11","9","25","10",".253","6885"
"Ryan Howard","Phillies","152","557","644","141","77","30","1","33","81","116","75","16","172","7","5","0","10","1","0",".253","2154"
"Bobby Abreu","Angels","142","502","585","127","88","30","1","8","54","60","78","5","113","1","3","1","8","21","5",".253","945"
"Yuniesky Betancourt","Brewers","152","556","584","140","97","27","3","13","51","68","16","3","63","2","10","0","16","4","4",".252","8585"
"Hideki Matsui","Athletics","141","517","585","130","90","28","0","12","58","72","56","3","84","1","9","0","10","1","1",".251","1659"
"Adam Lind","Blue Jays","125","499","542","125","83","16","0","26","56","87","32","4","107","3","8","0","12","1","1",".251","8027"
"Ryan Roberts","Diamondbacks","143","482","555","120","74","25","2","19","86","65","66","2","98","2","2","3","6","18","9",".249","5653"
"Austin Jackson","Tigers","153","591","668","147","104","22","11","10","90","45","56","3","181","4","3","14","11","22","5",".249","9848"
"Mark Ellis","- - -","132","480","519","119","87","24","1","7","55","41","22","0","75","6","2","9","8","14","5",".248","1443"
"Mark Teixeira","Yankees","156","589","684","146","80","26","1","39","90","111","76","3","110","11","8","0","12","4","1",".248","1281"
"Logan Morrison","Marlins","123","462","525","114","62","25","4","23","54","72","54","3","99","5","4","0","9","2","1",".247","9205"
"Danny Valencia","Twins","154","564","608","139","94","28","2","15","63","72","40","2","102","0","4","0","15","2","6",".246","6364"
"Aaron Hill","- - -","137","520","571","128","90","27","3","8","61","61","35","1","72","7","7","2","10","21","7",".246","6104"
"Josh Willingham","Athletics","136","488","563","120","65","26","0","29","69","98","56","3","150","11","8","0","6","4","1",".246","2103"
"Aubrey Huff","Giants","150","521","579","128","88","27","1","12","45","59","47","6","90","2","9","0","11","5","3",".246","1213"
"Jason Bay","Mets","123","444","509","109","77","19","1","12","59","57","56","3","109","2","6","1","8","11","1",".245","1717"
"Jason Bartlett","Padres","139","554","618","136","109","22","3","2","61","40","48","0","98","5","6","5","13","23","10",".245","8219"
"Raul Ibanez","Phillies","144","535","575","131","79","31","1","20","65","84","33","3","106","2","5","0","13","2","0",".245","607"
"Evan Longoria","Rays","133","483","574","118","60","26","1","31","78","99","80","6","93","6","5","0","11","3","2",".244","9368"
"Alfonso Soriano","Cubs","137","475","508","116","62","27","1","26","50","88","27","4","113","4","2","0","15","2","1",".244","847"
"Drew Stubbs","Reds","158","604","681","147","107","22","3","15","92","44","63","1","205","7","1","6","2","40","10",".243","9328"
"Melvin Upton Jr.","Rays","153","560","640","136","82","27","4","23","82","81","71","4","161","4","3","2","16","36","12",".243","5015"
"Alex Gonzalez","Braves","149","564","593","136","93","27","1","15","59","56","22","1","126","1","2","4","19","2","0",".241","520"
"David DeJesus","Athletics","131","442","506","106","71","20","5","10","60","46","45","1","86","11","4","4","14","4","3",".240","1825"
"Carlos Santana","Indians","155","552","658","132","68","35","2","27","84","79","97","7","133","2","7","0","15","5","3",".239","2396"
"Kurt Suzuki","Athletics","134","460","515","109","69","26","0","14","54","44","38","1","64","7","7","3","14","2","2",".237","8259"
"Ryan Ludwick","- - -","139","490","558","116","80","23","0","13","56","75","51","4","124","4","6","2","9","1","1",".237","1260"
"Chris Young","Diamondbacks","156","567","659","134","73","38","3","20","89","71","80","4","139","4","7","1","3","22","9",".236","3882"
"Danny Espinosa","Nationals","158","573","658","135","80","29","5","21","72","66","57","4","166","19","4","5","6","17","6",".236","9219"
"Dan Uggla","Braves","161","600","672","140","81","22","1","36","88","82","62","2","156","7","3","0","9","1","3",".233","3442"
"Jayson Werth","Nationals","150","561","649","130","83","26","1","20","69","58","74","5","160","10","4","0","10","19","3",".232","1327"
"Gordon Beckham","White Sox","150","499","557","115","82","23","0","10","60","44","35","0","111","13","3","7","6","5","3",".230","9015"
"John Buck","Marlins","140","466","530","106","74","15","1","16","41","57","54","7","115","7","1","2","11","0","1",".227","2041"
"Alex Rios","White Sox","145","537","570","122","85","22","2","13","64","44","27","4","68","2","4","0","20","11","6",".227","2090"
"Carlos Pena","Cubs","153","493","606","111","53","27","3","28","72","80","101","7","161","4","7","1","6","2","2",".225","934"
"Colby Rasmus","- - -","129","471","526","106","62","24","6","14","75","53","50","2","116","0","3","2","10","5","2",".225","9893"
"Miguel Olivo","Mariners","130","477","507","107","68","19","1","19","54","62","20","2","140","1","8","1","7","6","5",".224","1638"
"Casey McGehee","Brewers","155","546","600","122","83","24","2","13","46","67","45","4","104","1","8","0","19","0","3",".223","6086"
"Kelly Johnson","- - -","147","545","613","121","66","27","7","21","75","58","60","2","163","4","0","4","3","16","6",".222","2234"
"Mark Reynolds","Orioles","155","534","620","118","53","27","1","37","84","86","75","2","196","7","4","0","11","6","4",".221","7619"
"Vernon Wells","Angels","131","505","529","110","66","15","4","25","60","66","20","0","86","1","3","0","8","9","4",".218","1326"
